Periodo,Aborto,Abuso de confianza,Abuso sexual,Acoso sexual,Allanamiento de morada,Amenazas,Contra el medio ambiente,Corrupción de menores,Daño a la propiedad,Cometidos por servidores públicos,Despojo,Electorales,Evasión de presos,Extorsión,Falsedad,Falsificación,Feminicidio,Fraude,Homicidio,Hostigamiento sexual,Incesto,Incumplimiento de oblig. de asistencia fam.,Lesiones,Narcomenudeo,Otros delitos,Rapto,Robo,Secuestro,Tráfico de menores,Trata de personas,Violación equiparada,Violación simple,Violencia de género ,Violencia familiar
2015/01,4,69,48,0,23,313,0,10,672,60,57,0,1,25,10,28,0,175,66,1,0,35,634,208,586,9,1225,2,0,0,17,53,0,1045
2015/02,8,64,53,0,27,290,0,11,661,68,59,0,1,59,18,33,0,204,67,2,0,36,596,194,606,14,1222,0,0,0,18,42,0,1102
2015/03,9,58,60,0,36,271,0,5,589,85,76,0,2,37,17,25,0,227,80,3,0,48,611,202,639,10,1273,3,0,0,29,60,0,1286
2015/04,9,67,76,0,21,322,0,14,600,78,51,1,0,53,9,34,0,193,77,3,1,43,700,146,669,13,1064,2,0,0,29,45,0,1432
2015/05,7,72,73,0,32,336,0,21,655,88,77,5,1,28,13,29,0,245,83,4,0,49,702,204,732,12,1058,4,0,0,22,59,0,1532
2015/06,5,78,98,0,34,323,0,20,658,110,55,45,0,41,8,43,1,223,85,4,0,54,771,185,726,13,1080,1,0,0,23,50,0,1671
2015/07,3,50,88,0,18,283,0,19,647,107,58,2,1,31,11,61,0,173,83,0,0,31,684,125,741,13,1211,3,0,0,17,61,0,1630
2015/08,6,44,95,0,29,258,0,12,541,73,57,0,1,45,1,38,0,168,82,0,0,49,639,104,716,18,1321,1,1,0,23,47,0,1669
2015/09,1,94,97,0,45,405,0,19,817,128,84,0,4,38,9,69,0,246,101,0,0,67,816,112,781,16,1199,1,0,0,17,53,0,1690
2015/10,2,84,81,0,46,392,0,17,882,111,80,0,0,50,17,58,0,236,95,2,0,56,840,101,754,9,1369,0,1,0,19,52,0,1435
2015/11,1,60,82,0,33,303,0,20,731,114,64,0,1,51,24,55,0,221,73,5,0,45,644,139,721,11,1268,2,1,0,9,46,0,1325
2015/12,3,74,50,0,24,245,0,13,646,82,63,0,0,51,12,37,0,191,96,1,0,53,624,129,585,16,1244,2,0,0,10,46,0,1245
2016/01,4,69,57,0,16,204,0,12,532,29,63,0,2,49,12,35,0,163,92,3,0,33,514,108,527,8,1194,1,0,0,13,45,0,1056
2016/02,2,53,70,0,28,323,0,21,699,22,64,0,2,61,12,39,0,225,126,2,0,38,573,129,613,8,1413,0,1,0,14,50,0,1363
2016/03,3,47,92,0,30,323,0,15,788,36,63,0,1,49,13,38,0,255,91,1,0,43,656,136,748,10,1522,2,0,0,18,54,0,1383
2016/04,3,61,89,0,22,362,0,28,796,65,77,0,1,44,17,46,0,208,92,2,0,37,631,145,725,10,1659,3,0,1,25,66,0,1521
2016/05,5,73,91,0,22,390,0,17,764,73,69,0,1,38,16,63,1,248,98,1,0,44,698,130,795,19,1683,2,0,2,21,52,0,1618
2016/06,9,91,97,0,37,455,0,15,840,114,69,0,1,53,14,54,1,251,81,5,0,52,848,137,900,16,1864,2,0,1,29,64,0,1889
2016/07,2,74,89,0,33,413,0,14,737,118,53,0,1,51,11,38,0,789,123,2,0,41,815,133,880,17,1797,4,0,1,20,55,0,1849
2016/08,4,88,78,0,34,453,0,13,920,150,86,0,0,57,13,62,0,1209,93,2,0,50,785,165,848,19,1969,3,0,0,25,62,0,1592
2016/09,1,100,72,0,36,368,0,12,673,148,74,0,3,44,14,36,0,872,104,1,0,71,761,132,823,12,1644,2,0,0,19,68,0,1650
2016/10,7,93,81,0,32,498,0,11,863,147,71,0,1,51,16,51,0,358,105,0,1,65,791,136,828,8,1450,3,0,0,23,62,0,1450
2016/11,5,97,84,0,34,393,0,13,777,175,80,0,0,61,15,58,0,451,83,4,0,53,760,120,747,10,1358,3,0,1,13,45,0,1247
2016/12,2,157,46,0,27,399,0,19,875,198,76,0,0,68,13,64,1,882,83,3,1,51,675,140,740,17,1447,2,0,0,15,53,0,1155
2017/01,1,108,64,0,39,388,0,14,835,189,48,0,0,63,11,45,0,279,87,1,0,32,663,155,732,8,1681,2,0,2,12,41,0,1178
2017/02,2,101,60,0,42,369,0,12,788,190,59,0,1,61,20,42,0,193,87,1,0,55,677,239,746,8,1273,4,0,1,12,43,0,1260
2017/03,3,117,84,0,40,482,0,12,899,158,71,0,2,48,20,77,1,221,110,4,0,55,770,282,890,11,1551,4,0,0,27,65,0,1458
2017/04,3,100,72,0,32,368,0,8,631,222,56,0,2,60,12,50,0,211,94,4,1,43,646,170,733,8,1360,3,0,0,18,51,0,1356
2017/05,2,115,115,0,43,491,0,17,799,179,59,0,2,80,11,55,2,264,108,4,0,54,768,200,892,8,1387,4,0,0,20,51,0,1652
2017/06,3,94,111,4,46,540,0,18,799,191,77,0,1,62,23,39,6,221,112,1,0,59,873,204,926,13,1353,3,0,0,27,76,0,1852
2017/07,2,103,82,5,49,491,0,22,790,222,63,1,0,46,21,55,6,226,77,2,1,43,747,182,872,12,1428,2,1,0,20,60,0,1512
2017/08,4,95,97,7,47,540,0,12,890,113,103,0,1,69,23,53,4,314,81,0,0,44,858,270,984,9,1504,3,0,0,32,66,0,1696
2017/09,4,85,98,14,40,398,0,14,735,162,65,0,1,56,23,37,8,313,77,1,0,49,743,192,936,11,1360,3,0,3,20,57,0,1630
2017/10,3,120,97,9,36,472,0,10,712,173,70,0,0,49,14,61,4,503,101,7,0,61,736,281,845,7,1453,3,0,0,22,51,0,1290
2017/11,1,117,77,6,34,446,0,13,788,234,85,0,0,43,29,45,8,295,89,3,0,53,705,193,814,8,1384,2,1,0,21,42,0,1295
2017/12,0,112,50,13,29,295,0,10,664,313,76,0,3,41,14,55,4,303,76,5,0,47,640,231,683,9,1143,2,0,0,15,41,0,966
2018/01,3,91,53,3,16,277,0,9,708,115,75,0,0,34,13,33,7,269,76,8,0,40,539,248,685,7,1280,2,0,0,18,51,0,997
2018/02,3,92,79,12,19,325,0,12,714,167,85,0,0,42,25,44,5,655,93,1,0,47,518,213,809,10,1256,3,0,1,29,63,0,1099
2018/03,1,118,94,15,34,374,0,14,737,227,76,1,2,47,9,39,6,318,84,5,0,44,609,249,840,8,1332,4,1,2,26,53,0,1372
2018/04,3,90,93,14,29,333,0,16,705,157,64,1,0,34,15,42,5,271,118,4,0,38,612,170,843,8,1343,2,0,0,28,74,0,1347
2018/05,2,116,117,16,21,442,0,18,760,137,61,15,4,40,15,40,4,263,102,3,0,51,710,233,930,8,1430,1,0,4,33,91,0,1574
2018/06,1,107,118,17,36,500,0,17,715,199,64,63,0,54,15,34,3,263,75,11,0,58,697,185,895,8,1274,2,0,0,32,59,0,1595
2018/07,5,102,113,24,21,382,0,18,674,211,61,104,0,45,16,52,7,246,119,3,0,44,690,190,994,13,1440,1,0,3,25,69,0,1788
2018/08,2,120,108,18,34,494,0,15,752,226,74,12,0,48,12,49,6,353,109,6,0,50,730,217,970,12,1361,2,0,2,22,73,0,1558
2018/09,6,76,85,21,40,508,0,17,747,238,73,3,0,50,20,57,15,311,112,0,0,59,668,199,975,3,1282,3,0,3,27,61,0,1563
2018/10,5,111,103,20,32,429,0,11,670,276,76,3,0,54,28,59,9,508,124,5,0,34,651,228,992,10,1329,3,0,1,35,73,0,1355
2018/11,6,83,71,19,23,411,0,6,745,279,76,8,1,46,17,47,7,422,131,3,0,35,577,197,863,8,1353,3,0,2,23,41,0,1130
2018/12,1,57,78,12,23,373,0,7,610,114,51,44,1,42,8,36,5,164,141,2,0,46,565,218,714,5,1113,2,0,0,19,42,0,1032
2019/01,3,89,60,13,23,246,0,15,524,191,59,4,0,40,14,62,7,284,143,1,0,31,462,240,629,5,1262,2,0,5,21,45,0,961
2019/02,7,69,90,16,31,249,0,19,464,180,68,1,0,43,11,61,5,250,144,4,0,43,367,227,817,5,1122,3,0,1,28,60,0,1162
2019/03,7,88,77,22,17,323,0,13,693,141,77,0,1,38,22,47,2,352,107,6,0,38,483,276,813,7,1198,0,1,0,24,47,0,1216
2019/04,8,74,113,15,22,266,0,20,492,106,71,0,3,39,18,39,6,230,107,1,0,40,466,260,812,12,1133,0,0,0,34,59,0,1250
